Gameweek,Home,Away
31,Chelsea,Man City
31,Burnley,Watford
31,Man Utd,Sheffield Utd
31,Newcastle,Aston Villa
31,Norwich,Everton
31,Liverpool,Crystal Palace
31,Leicester,Brighton
31,Wolves,Bournemouth
31,Southampton,Arsenal
32,Aston Villa,Wolves
32,Bournemouth,Newcastle
32,Arsenal,Norwich
32,Brighton,Man Utd
32,Crystal Palace,Burnley
32,Watford,Southampton
32,Sheffield Utd,Spurs
32,West Ham,Chelsea
32,Man City,Liverpool
32,Everton,Leicester
33,Newcastle,West Ham
33,Man Utd,Bournemouth
33,Burnley,Sheffield Utd
33,Leicester,Crystal Palace
33,Norwich,Brighton
33,Southampton,Man City
33,Spurs,Everton
33,Chelsea,Watford
33,Liverpool,Aston Villa
33,Wolves,Arsenal
34,Crystal Palace,Chelsea
34,Bournemouth,Spurs
34,Everton,Southampton
34,Man City,Newcastle
34,Watford,Norwich
34,West Ham,Burnley
34,Arsenal,Leicester
34,Sheffield Utd,Wolves
34,Aston Villa,Man Utd
34,Brighton,Liverpool
35,Liverpool,Burnley
35,Bournemouth,Leicester
35,Man Utd,Southampton
35,Norwich,West Ham
35,Watford,Newcastle
35,Wolves,Everton
35,Brighton,Man City
35,Sheffield Utd,Chelsea
35,Spurs,Arsenal
35,Aston Villa,Crystal Palace
36,Arsenal,Liverpool
36,Burnley,Wolves
36,Chelsea,Norwich
36,Crystal Palace,Man Utd
36,Everton,Aston Villa
36,Leicester,Sheffield Utd
36,Man City,Bournemouth
36,Newcastle,Spurs
36,Southampton,Brighton
36,West Ham,Watford
37,Bournemouth,Southampton
37,Aston Villa,Arsenal
37,Brighton,Newcastle
37,Liverpool,Chelsea
37,Man Utd,West Ham
37,Norwich,Burnley
37,Sheffield Utd,Everton
37,Spurs,Leicester
37,Watford,Man City
37,Wolves,Crystal Palace
38,Arsenal,Watford
38,Burnley,Brighton
38,Chelsea,Wolves
38,Crystal Palace,Spurs
38,Everton,Bournemouth
38,Leicester,Man Utd
38,Man City,Norwich
38,Newcastle,Liverpool
38,Southampton,Sheffield Utd
38,West Ham,Aston Villa
